Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
5.380	0.62	-0.17	3.33
5.400	0.62	-0.03	3.11
5.420	0.62	-0.05	-10.37
5.440	0.62	-0.44	-5.92
5.460	0.60	-0.28	12.22
5.480	0.60	0.05	-0.12
5.500	0.60	-0.29	-7.37
5.520	0.59	-0.25	4.26
5.540	0.59	-0.12	1.06
5.560	0.59	-0.20	-2.91
5.580	0.58	-0.23	-1.00
5.600	0.58	-0.24	-4.26
5.620	0.57	-0.40	-53.35
5.640	0.56	-2.38	3.77
5.660	0.48	-0.25	91.61
5.680	0.55	1.29	-11.00
5.700	0.53	-0.69	-28.42
5.720	0.52	0.15	22.01
5.740	0.54	0.19	-8.66
5.760	0.53	-0.20	-11.55
5.780	0.53	-0.28	-3.59
5.800	0.52	-0.34	-0.12
5.820	0.51	-0.28	1.61
5.840	0.51	-0.28	0.10
5.860	0.50	-0.28	0.21
5.880	0.50	-0.27	0.31
5.900	0.49	-0.26	0.52
5.920	0.49	-0.25	0.78
5.940	0.48	-0.23	0.43
5.960	0.48	-0.23	0.41
5.980	0.47	-0.22	0.75
6.000	0.47	-0.20	0.87
6.020	0.47	-0.18	0.77
6.040	0.46	-0.17	0.53
6.060	0.46	-0.16	0.63
6.080	0.46	-0.14	0.86
6.100	0.45	-0.13	0.86
6.120	0.45	-0.11	0.86
6.140	0.45	-0.09	0.85
6.160	0.45	-0.07	1.07
6.180	0.45	-0.05	1.20
6.200	0.45	-0.03	0.97
6.220	0.45	-0.01	0.87
6.240	0.45	0.01	0.75
6.260	0.45	0.02	0.75
6.280	0.45	0.04	0.74
6.300	0.45	0.05	0.93
6.320	0.45	0.08	1.53
6.340	0.45	0.11	1.22
6.360	0.45	0.12	0.52
6.380	0.46	0.13	0.84
6.400	0.46	0.16	1.21
6.420	0.46	0.18	0.76
6.440	0.46	0.19	0.64
6.460	0.47	0.21	0.77
6.480	0.47	0.22	0.54
6.500	0.48	0.23	0.52
6.520	0.48	0.24	0.75
6.540	0.49	0.26	0.76
6.560	0.49	0.27	0.64
6.580	0.50	0.28	0.64
6.600	0.50	0.30	0.66
6.620	0.51	0.31	0.45
6.640	0.52	0.31	0.11
6.660	0.52	0.31	0.10
6.680	0.53	0.32	0.22
6.700	0.54	0.32	0.12
6.720	0.54	0.32	-0.10
6.740	0.55	0.32	1.29
6.760	0.55	0.37	1.50
6.780	0.56	0.38	-1.29
6.800	0.57	0.32	-1.43
6.820	0.58	0.32	0.48
6.840	0.58	0.34	-0.04
6.860	0.59	0.32	-0.89
6.880	0.60	0.31	-0.40
6.900	0.60	0.30	-0.74
6.920	0.61	0.28	-0.89
6.940	0.61	0.27	-0.54
6.960	0.62	0.25	-0.66
6.980	0.62	0.24	0.87
7.000	0.63	0.29	1.01
7.020	0.63	0.28	-2.02
7.040	0.64	0.21	-2.36
7.060	0.64	0.19	-1.06
7.080	0.65	0.17	-1.32
7.100	0.65	0.13	0.42
7.120	0.65	0.18	-0.50
7.140	0.66	0.11	-2.36
7.160	0.66	0.09	0.25
7.180	0.66	0.12	-1.28
7.200	0.66	0.04	-2.71
7.220	0.66	0.02	-1.18
7.240	0.66	-0.01	-1.19
7.260	0.66	-0.03	-1.07
7.280	0.66	-0.05	-1.19
7.300	0.66	-0.08	-1.11
7.320	0.66	-0.10	-0.59
7.340	0.66	-0.10	-2.42
7.360	0.65	-0.19	-3.30
7.380	0.65	-0.24	-0.04
7.400	0.64	-0.20	0.54
7.420	0.64	-0.21	-0.76
7.440	0.64	-0.23	-0.64
7.460	0.63	-0.24	-0.74
7.480	0.63	-0.26	-0.85
7.500	0.62	-0.27	-0.86
7.520	0.61	-0.29	-2.29
7.540	0.61	-0.37	-2.19
7.560	0.60	-0.38	0.99
7.580	0.59	-0.33	0.88
7.600	0.59	-0.34	-0.68
7.620	0.58	-0.35	-0.22
7.640	0.57	-0.35	-0.22
7.660	0.57	-0.36	-0.24
7.680	0.56	-0.36	0.11
7.700	0.55	-0.36	0.23
7.720	0.54	-0.35	-1.40
7.740	0.54	-0.41	-1.61
7.760	0.53	-0.42	1.29
7.780	0.52	-0.36	1.38
7.800	0.51	-0.36	0.20
7.820	0.51	-0.35	0.43
7.840	0.50	-0.34	0.42
7.860	0.49	-0.34	0.64
7.880	0.49	-0.32	0.78
7.900	0.48	-0.31	0.44
7.920	0.47	-0.30	0.30
7.940	0.47	-0.29	0.64
7.960	0.46	-0.28	0.76
7.980	0.46	-0.26	0.63
8.000	0.45	-0.25	0.85
8.020	0.45	-0.23	0.97
8.040	0.44	-0.21	0.96
8.060	0.44	-0.19	1.08
8.080	0.43	-0.17	0.97
8.100	0.43	-0.15	0.96
8.120	0.43	-0.13	1.08
8.140	0.43	-0.11	1.08
8.160	0.42	-0.09	0.97
8.180	0.42	-0.07	0.95
8.200	0.42	-0.05	1.18
8.220	0.42	-0.02	1.19
8.240	0.42	0.00	1.07
8.260	0.42	0.02	1.18
8.280	0.42	0.05	1.30
8.300	0.42	0.07	1.19
8.320	0.42	0.09	1.07
8.340	0.43	0.11	1.08
8.360	0.43	0.14	0.97
8.380	0.43	0.15	0.86
8.400	0.43	0.17	0.85
8.420	0.44	0.19	0.95
8.440	0.44	0.21	1.19
8.460	0.45	0.24	1.09
8.480	0.45	0.25	0.75
8.500	0.46	0.27	0.75
8.520	0.46	0.28	0.77
8.540	0.47	0.30	0.54
8.560	0.47	0.30	0.53
8.580	0.48	0.32	0.65
8.600	0.49	0.33	0.54
8.620	0.49	0.34	0.54
8.640	0.50	0.35	0.44
8.660	0.51	0.36	0.31
8.680	0.51	0.36	0.45
8.700	0.52	0.37	0.13
8.720	0.53	0.37	1.30
8.740	0.54	0.43	1.38
8.760	0.55	0.42	-1.40
8.780	0.55	0.37	-1.38
8.800	0.56	0.37	-0.10
8.820	0.57	0.37	-0.22
8.840	0.58	0.36	-0.13
8.860	0.58	0.36	0.14
8.880	0.59	0.37	-0.16
8.900	0.60	0.35	-0.98
8.920	0.60	0.33	0.51
8.940	0.61	0.37	1.11
8.960	0.62	0.37	-1.90
8.980	0.63	0.30	-2.37
9.000	0.63	0.28	-0.98
9.020	0.64	0.26	-0.85
9.040	0.64	0.24	-0.97
9.060	0.65	0.22	-1.11
9.080	0.65	0.20	0.56
9.100	0.65	0.24	0.63
9.120	0.66	0.22	-2.78
9.140	0.66	0.13	-4.50
9.160	0.67	0.04	-1.23
9.180	0.66	0.08	1.99
9.200	0.67	0.12	-0.96
9.220	0.67	0.04	-2.38
9.240	0.67	0.03	-0.96
9.260	0.67	0.01	-1.04
9.280	0.67	-0.01	-1.38
9.300	0.67	-0.05	-1.63
9.320	0.67	-0.08	-1.41
9.340	0.67	-0.11	-1.32
9.360	0.66	-0.13	-0.99
9.380	0.66	-0.14	-0.62
9.400	0.66	-0.16	-2.14
9.420	0.66	-0.23	-2.49
9.440	0.65	-0.26	0.11
9.460	0.65	-0.23	0.21
9.480	0.64	-0.25	-0.99
9.500	0.64	-0.27	-0.66
9.520	0.63	-0.27	-1.84
9.540	0.62	-0.34	-1.95
9.560	0.62	-0.35	0.76
9.580	0.61	-0.31	0.75
9.600	0.60	-0.32	-0.52
9.620	0.60	-0.33	-0.74
9.640	0.59	-0.35	-0.91
9.660	0.58	-0.37	-0.36
9.680	0.58	-0.37	0.20
9.700	0.57	-0.36	-0.96
9.720	0.56	-0.40	-1.27
9.740	0.55	-0.41	1.30
9.760	0.55	-0.35	1.29
9.780	0.54	-0.36	-0.12
9.800	0.53	-0.36	0.10
9.820	0.52	-0.35	0.22
9.840	0.52	-0.35	0.21
9.860	0.51	-0.34	0.31
9.880	0.50	-0.34	0.54
9.900	0.50	-0.32	0.54
9.920	0.49	-0.32	0.52
9.940	0.48	-0.30	0.75
9.960	0.48	-0.28	0.76
9.980	0.47	-0.27	0.64
10.000	0.47	-0.26	0.75
10.020	0.46	-0.24	0.76
10.040	0.46	-0.23	0.64
10.060	0.45	-0.22	0.74
10.080	0.45	-0.20	0.97
10.100	0.45	-0.18	0.98
10.120	0.44	-0.16	0.85
10.140	0.44	-0.14	1.07
10.160	0.44	-0.12	1.19
