Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
7,825	0,49	-0,07	0,83
7,850	0,49	-0,05	0,83
7,875	0,49	-0,03	0,75
7,900	0,48	-0,01	0,89
7,925	0,48	0,02	0,90
7,950	0,49	0,04	0,83
7,975	0,49	0,06	0,83
8,000	0,49	0,08	0,82
8,025	0,49	0,10	0,89
8,050	0,49	0,12	0,90
8,075	0,50	0,14	0,75
8,100	0,50	0,16	0,82
8,125	0,50	0,18	0,84
8,150	0,51	0,20	0,61
8,175	0,51	0,22	0,69
8,200	0,52	0,24	0,69
8,225	0,53	0,25	0,55
8,250	0,53	0,26	0,55
8,275	0,54	0,28	0,48
8,300	0,55	0,29	0,48
8,325	0,55	0,30	0,42
8,350	0,56	0,31	0,27
8,375	0,57	0,32	0,23
8,400	0,58	0,32	0,97
8,425	0,59	0,36	1,00
8,450	0,60	0,37	-0,68
8,475	0,60	0,33	-0,81
8,500	0,61	0,33	0,01
8,525	0,62	0,33	-0,05
8,550	0,63	0,33	-0,31
8,575	0,64	0,31	0,22
8,600	0,64	0,34	0,18
8,625	0,65	0,32	-1,37
8,650	0,66	0,27	-1,43
8,675	0,67	0,25	-0,69
8,700	0,67	0,23	-0,62
8,725	0,68	0,22	-0,61
8,750	0,68	0,20	-0,76
8,775	0,69	0,18	-0,76
8,800	0,69	0,17	-0,74
8,825	0,70	0,15	-0,96
8,850	0,70	0,12	-0,97
8,875	0,70	0,10	-0,82
8,900	0,71	0,08	-0,89
8,925	0,71	0,05	-0,89
8,950	0,71	0,03	-0,95
8,975	0,71	0,01	-1,11
9,000	0,71	-0,02	-0,96
9,025	0,71	-0,04	-0,96
9,050	0,71	-0,07	-1,05
9,075	0,70	-0,09	-0,83
9,100	0,70	-0,11	-0,82
9,125	0,70	-0,14	-0,91
9,150	0,70	-0,16	-0,76
9,175	0,69	-0,17	-0,76
9,200	0,69	-0,19	-0,77
9,225	0,68	-0,21	-0,63
9,250	0,68	-0,23	-0,48
9,275	0,67	-0,24	-0,47
9,300	0,66	-0,25	-0,62
9,325	0,66	-0,27	-0,63
9,350	0,65	-0,28	-0,56
