Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
10,900	0,50	0,37	0,44
10,920	0,51	0,38	0,13
10,940	0,51	0,38	1,28
10,960	0,52	0,43	1,58
10,980	0,53	0,44	-1,07
11,000	0,54	0,39	-1,24
11,020	0,55	0,39	-0,32
11,040	0,56	0,38	-0,35
11,060	0,56	0,38	0,19
11,080	0,57	0,39	-2,06
11,100	0,58	0,30	-4,72
11,120	0,58	0,20	-2,36
11,140	0,59	0,20	1,57
11,160	0,59	0,26	3,52
11,180	0,60	0,34	2,71
11,200	0,60	0,37	-0,45
11,220	0,61	0,32	1,38
11,240	0,62	0,42	-1,58
11,260	0,63	0,26	-10,35
11,280	0,63	0,01	-4,51
11,300	0,63	0,08	7,99
11,320	0,63	0,33	13,30
11,340	0,64	0,61	5,18
11,360	0,66	0,54	-2,83
11,380	0,66	0,50	-1,87
11,400	0,68	0,46	-6,08
11,420	0,68	0,26	-6,87
11,440	0,69	0,19	-2,15
11,460	0,69	0,17	-0,98
11,480	0,69	0,15	-0,87
11,500	0,69	0,13	-0,73
11,520	0,70	0,12	-0,96
11,540	0,70	0,10	-1,09
11,560	0,70	0,07	-0,98
11,580	0,70	0,06	-0,85
11,600	0,70	0,04	-0,97
11,620	0,70	0,02	-0,97
11,640	0,70	0,00	-0,95
11,660	0,70	-0,02	-1,19
11,680	0,70	-0,05	-1,10
11,700	0,70	-0,06	-0,85
11,720	0,70	-0,08	-0,97
11,740	0,70	-0,10	-0,98
11,760	0,70	-0,12	-0,87
11,780	0,69	-0,14	-0,75
11,800	0,69	-0,15	-0,72
11,820	0,69	-0,17	-1,08
11,840	0,68	-0,19	-1,12
11,860	0,68	-0,21	-0,67
11,880	0,68	-0,22	-0,41
11,900	0,67	-0,23	-0,63
11,920	0,67	-0,24	-0,72
11,940	0,66	-0,26	-2,36
11,960	0,66	-0,34	-2,77
11,980	0,65	-0,37	0,61
12,000	0,64	-0,31	1,11
12,020	0,64	-0,32	-0,40
12,040	0,63	-0,33	-2,18
12,060	0,62	-0,41	-0,80
12,080	0,61	-0,36	2,77
12,100	0,61	-0,30	-2,06
12,120	0,60	-0,44	-3,56
12,140	0,59	-0,44	1,90
12,160	0,58	-0,37	1,11
12,180	0,58	-0,40	-0,72
12,200	0,57	-0,40	0,23
12,220	0,56	-0,39	0,04
12,240	0,55	-0,40	-0,46
12,260	0,54	-0,41	-0,14
12,280	0,54	-0,40	0,42
12,300	0,53	-0,39	-0,95
12,320	0,52	-0,44	-1,37
12,340	0,51	-0,44	1,28
12,360	0,50	-0,39	1,48
12,380	0,50	-0,38	0,32
12,400	0,49	-0,38	0,43
12,420	0,48	-0,37	0,42
12,440	0,47	-0,36	0,53
12,460	0,47	-0,35	0,65
12,480	0,46	-0,33	0,55
12,500	0,45	-0,32	0,42
12,520	0,45	-0,32	0,53
12,540	0,44	-0,30	0,65
12,560	0,43	-0,29	0,65
12,580	0,43	-0,28	0,64
12,600	0,42	-0,26	0,74
12,620	0,42	-0,25	0,97
12,640	0,41	-0,22	0,98
12,660	0,41	-0,21	0,86
12,680	0,41	-0,19	0,86
12,700	0,40	-0,17	0,86
12,720	0,40	-0,16	0,86
12,740	0,40	-0,14	0,85
12,760	0,39	-0,12	0,96
12,780	0,39	-0,10	1,08
12,800	0,39	-0,08	0,97
12,820	0,39	-0,06	0,96
12,840	0,39	-0,04	1,08
12,860	0,39	-0,02	1,08
12,880	0,39	0,00	1,08
12,900	0,39	0,02	0,97
12,920	0,39	0,04	0,97
12,940	0,39	0,06	0,97
12,960	0,39	0,08	0,85
12,980	0,39	0,10	0,96
13,000	0,39	0,12	1,07
13,020	0,40	0,14	1,08
13,040	0,40	0,16	0,97
13,060	0,40	0,18	0,86
13,080	0,41	0,20	0,86
13,100	0,41	0,21	0,86
13,120	0,41	0,23	0,86
13,140	0,42	0,25	0,86
13,160	0,42	0,27	0,76
13,180	0,43	0,28	0,64
13,200	0,44	0,29	0,64
13,220	0,44	0,30	0,64
13,240	0,45	0,32	0,76
13,260	0,45	0,33	0,66
13,280	0,46	0,34	0,42
13,300	0,47	0,35	0,53
13,320	0,47	0,36	0,65
13,340	0,48	0,38	0,56
13,360	0,49	0,39	0,22
13,380	0,50	0,39	0,09
13,400	0,51	0,39	0,32
13,420	0,51	0,40	0,26
13,440	0,52	0,40	1,17
13,460	0,53	0,45	1,45
13,480	0,54	0,46	-0,72
13,500	0,55	0,42	-1,26
13,520	0,56	0,41	-0,22
13,540	0,56	0,41	-0,07
13,560	0,57	0,41	-0,55
13,580	0,58	0,39	-0,36
13,600	0,59	0,39	0,14
13,620	0,60	0,39	-0,43
13,640	0,60	0,37	0,85
13,660	0,61	0,43	1,21
13,680	0,62	0,42	-1,72
13,700	0,63	0,36	-1,82
13,720	0,63	0,35	-0,65
13,740	0,64	0,33	0,67
13,760	0,65	0,38	0,69
13,780	0,66	0,36	-2,38
13,800	0,66	0,28	-2,28
13,820	0,67	0,27	-0,74
13,840	0,67	0,25	-0,86
13,860	0,68	0,23	-0,87
13,880	0,68	0,22	-0,75
13,900	0,69	0,20	-0,74
13,920	0,69	0,19	-0,88
13,940	0,69	0,17	-0,62
13,960	0,70	0,16	-0,83
13,980	0,70	0,14	-1,20
14,000	0,70	0,11	-0,96
14,020	0,71	0,10	-1,06
14,040	0,71	0,07	-1,19
14,060	0,71	0,05	-1,09
14,080	0,71	0,03	-0,98
14,100	0,71	0,01	-0,85
14,120	0,71	-0,01	-0,95
14,140	0,71	-0,03	-1,19
14,160	0,71	-0,05	-1,10
14,180	0,71	-0,07	-0,85
14,200	0,71	-0,09	-0,95
14,220	0,70	-0,11	-1,18
14,240	0,70	-0,14	-1,22
14,260	0,70	-0,16	-0,88
14,280	0,69	-0,17	-0,64
14,300	0,69	-0,18	-0,74
14,320	0,69	-0,20	-0,85
14,340	0,68	-0,22	-0,98
14,360	0,68	-0,24	-0,88
14,380	0,67	-0,25	-0,65
14,400	0,67	-0,27	-0,51
14,420	0,66	-0,27	-2,00
14,440	0,66	-0,35	-2,72
14,460	0,65	-0,38	0,05
14,480	0,64	-0,34	0,74
14,500	0,63	-0,35	-0,31
14,520	0,63	-0,36	-0,31
14,540	0,62	-0,36	-1,86
14,560	0,61	-0,43	-1,74
14,580	0,60	-0,43	1,10
14,600	0,60	-0,39	0,87
14,620	0,59	-0,40	-0,56
14,640	0,58	-0,41	-0,36
14,660	0,57	-0,41	0,12
14,680	0,56	-0,40	0,03
14,700	0,56	-0,41	-0,37
14,720	0,55	-0,42	0,41
14,740	0,54	-0,40	-0,83
14,760	0,53	-0,45	-1,48
14,780	0,52	-0,46	1,18
