Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
5,120	0,53	-0,28	2,23E-13
5,140	0,53	-0,28	-0,01
5,160	0,52	-0,28	0,10
5,180	0,52	-0,28	0,21
5,200	0,51	-0,27	0,31
5,220	0,51	-0,26	0,54
5,240	0,50	-0,25	0,55
5,260	0,50	-0,24	0,42
5,280	0,49	-0,23	0,65
5,300	0,49	-0,22	0,66
5,320	0,48	-0,21	0,42
5,340	0,48	-0,20	0,53
5,360	0,47	-0,19	0,64
5,380	0,47	-0,17	0,75
5,400	0,47	-0,16	0,75
5,420	0,46	-0,14	0,74
5,440	0,46	-0,13	0,97
5,460	0,46	-0,10	0,98
5,480	0,46	-0,09	0,86
5,500	0,46	-0,07	0,86
5,520	0,45	-0,05	0,86
5,540	0,45	-0,04	0,86
5,560	0,45	-0,02	0,86
5,580	0,45	0,00	0,86
5,600	0,45	0,02	0,86
5,620	0,45	0,03	0,85
5,640	0,45	0,05	0,95
5,660	0,46	0,07	1,20
5,680	0,46	0,10	0,99
5,700	0,46	0,11	0,63
5,720	0,46	0,12	0,86
5,740	0,46	0,15	0,87
5,760	0,47	0,16	0,64
5,780	0,47	0,17	0,64
5,800	0,47	0,18	0,64
5,820	0,48	0,20	0,75
5,840	0,48	0,21	0,76
5,860	0,49	0,23	0,64
5,880	0,49	0,24	0,65
5,900	0,50	0,25	0,54
5,920	0,50	0,26	0,44
5,940	0,51	0,27	0,33
5,960	0,51	0,27	0,22
5,980	0,52	0,28	0,11
6,000	0,52	0,28	0,00
6,020	0,53	0,28	1,61
6,040	0,54	0,34	0,42
6,060	0,54	0,30	-2,66
6,080	0,55	0,24	-0,34
6,100	0,55	0,28	3,24
6,120	0,56	0,37	-2,62
6,140	0,57	0,18	-4,21
6,160	0,57	0,20	5,00
6,180	0,58	0,38	-1,49
6,200	0,58	0,14	-0,52
6,220	0,58	0,36	2,73
6,240	0,59	0,25	-3,88
6,260	0,59	0,20	1,67
6,280	0,60	0,31	1,06
6,300	0,60	0,24	-0,12
6,320	0,61	0,31	0,38
6,340	0,62	0,26	-2,94
6,360	0,62	0,19	-2,63
6,380	0,62	0,15	0,66
6,400	0,63	0,22	-0,58
6,420	0,63	0,13	-2,83
6,440	0,63	0,10	-0,93
6,460	0,64	0,09	-2,74
6,480	0,64	0,00	-1,19
6,500	0,64	0,05	3,02
6,520	0,64	0,12	-0,65
6,540	0,64	0,02	-3,26
6,560	0,64	-0,01	-1,69
6,580	0,64	-0,05	-0,77
6,600	0,64	-0,05	-0,46
6,620	0,64	-0,07	-1,24
6,640	0,64	-0,09	-3,17
