Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
11,220	0,65	-0,16	0,16
11,240	0,65	-0,15	-1,65
11,260	0,65	-0,23	-2,73
11,280	0,64	-0,26	0,28
11,300	0,64	-0,21	-0,64
11,320	0,63	-0,28	0,39
11,340	0,62	-0,20	3,83
11,360	0,62	-0,13	-0,56
11,380	0,62	-0,22	-4,43
11,400	0,61	-0,31	-2,07
11,420	0,61	-0,30	3,74
11,440	0,60	-0,16	1,85
11,460	0,60	-0,23	-4,11
11,480	0,59	-0,32	0,05
11,500	0,59	-0,23	2,42
11,520	0,58	-0,22	-1,01
11,540	0,58	-0,27	-0,55
11,560	0,57	-0,25	1,04
11,580	0,57	-0,23	0,14
11,600	0,56	-0,24	-0,37
11,620	0,56	-0,24	0,29
11,640	0,55	-0,23	-0,74
11,660	0,55	-0,27	-1,15
11,680	0,54	-0,28	1,28
11,700	0,54	-0,22	1,49
11,720	0,53	-0,22	0,21
11,740	0,53	-0,21	0,32
11,760	0,53	-0,20	0,33
11,780	0,52	-0,20	0,20
11,800	0,52	-0,19	0,42
11,820	0,51	-0,18	0,56
11,840	0,51	-0,17	0,22
11,860	0,51	-0,17	0,20
11,880	0,50	-0,16	0,44
11,900	0,50	-0,16	0,32
11,920	0,50	-0,15	0,41
11,940	0,49	-0,14	0,66
11,960	0,49	-0,13	0,45
11,980	0,49	-0,12	0,21
12,000	0,49	-0,12	0,32
12,020	0,49	-0,11	0,42
12,040	0,48	-0,10	0,54
12,060	0,48	-0,09	0,56
12,080	0,48	-0,08	0,22
12,100	0,48	-0,08	0,20
12,120	0,48	-0,07	0,43
12,140	0,48	-0,06	0,43
12,160	0,47	-0,05	0,44
12,180	0,47	-0,04	0,32
12,200	0,47	-0,04	0,43
12,220	0,47	-0,03	0,44
12,240	0,47	-0,02	0,21
12,260	0,47	-0,02	0,32
12,280	0,47	-0,01	0,32
12,300	0,47	0,00	0,32
12,320	0,47	0,00	0,32
12,340	0,47	0,01	0,32
12,360	0,47	0,02	0,33
12,380	0,47	0,02	0,21
12,400	0,47	0,03	0,21
12,420	0,47	0,03	0,20
12,440	0,47	0,03	0,44
12,460	0,47	0,05	0,34
12,480	0,47	0,05	-0,01
12,500	0,48	0,05	0,63
12,520	0,48	0,07	-5,30
12,540	0,48	-0,17	-14,10
12,560	0,47	-0,49	-0,91
12,580	0,46	-0,20	3,78
12,600	0,46	-0,34	19,74
12,620	0,45	0,59	24,82
12,640	0,49	0,65	-13,39
12,660	0,47	0,05	-4,99
12,680	0,49	0,45	0,94
12,700	0,49	0,09	-8,91
12,720	0,49	0,10	-2,42
