Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
4.860	0.68	0.36	-1.19
4.880	0.69	0.34	-1.05
4.900	0.70	0.32	-1.26
4.920	0.70	0.29	-1.50
4.940	0.71	0.26	-1.50
4.960	0.71	0.23	-1.50
4.980	0.72	0.20	-1.50
5.000	0.72	0.17	-1.50
5.020	0.72	0.14	-1.49
5.040	0.73	0.11	-1.60
5.060	0.73	0.07	-1.73
5.080	0.73	0.04	-1.61
5.100	0.73	0.01	-1.42
5.120	0.73	-0.02	-3.19
5.140	0.73	-0.12	-6.60
5.160	0.72	-0.28	1.20
5.180	0.72	-0.07	7.69
5.200	0.72	0.02	-2.85
5.220	0.72	-0.19	-6.13
5.240	0.71	-0.22	-1.64
5.260	0.71	-0.25	-1.22
5.280	0.70	-0.27	-3.41
5.300	0.70	-0.39	-1.79
5.320	0.69	-0.34	2.83
5.340	0.68	-0.27	-0.89
5.360	0.68	-0.38	-2.88
5.380	0.67	-0.39	-2.76
5.400	0.66	-0.49	-8.98
5.420	0.65	-0.75	-0.62
5.440	0.63	-0.51	11.24
5.460	0.63	-0.30	-0.26
5.480	0.62	-0.52	-6.45
5.500	0.61	-0.56	-0.84
5.520	0.60	-0.56	-9.40
5.540	0.59	-0.93	-11.06
5.560	0.56	-1.00	15.04
5.580	0.55	-0.33	17.37
5.600	0.55	-0.30	-7.40
5.620	0.53	-0.63	-8.47
5.640	0.52	-0.64	-0.22
5.660	0.51	-0.64	0.08
5.680	0.50	-0.64	-4.45
5.700	0.48	-0.81	-4.83
5.720	0.46	-0.83	8.58
5.740	0.45	-0.47	4.45
5.760	0.44	-0.65	-4.90
5.780	0.42	-0.67	5.09
5.800	0.42	-0.45	0.96
5.820	0.41	-0.63	-4.48
5.840	0.39	-0.63	0.31
5.860	0.38	-0.62	0.54
5.880	0.37	-0.61	0.53
5.900	0.36	-0.60	0.75
5.920	0.34	-0.58	0.86
5.940	0.33	-0.56	0.87
5.960	0.32	-0.54	0.76
5.980	0.31	-0.53	0.74
6.000	0.30	-0.51	1.07
6.020	0.29	-0.49	1.18
6.040	0.28	-0.47	1.29
6.060	0.27	-0.44	1.52
6.080	0.26	-0.41	1.30
6.100	0.26	-0.38	1.19
6.120	0.25	-0.36	1.18
6.140	0.24	-0.34	1.40
6.160	0.23	-0.30	1.52
6.180	0.23	-0.28	1.28
6.200	0.22	-0.25	1.62
6.220	0.22	-0.21	1.62
6.240	0.21	-0.19	1.39
6.260	0.21	-0.16	1.82
6.280	0.21	-0.11	2.06
6.300	0.21	-0.07	1.51
